"Global_label","Regional_label","Global_value","Regional_value"
"No Data",,0,
"Cropland, rainfed",,10,
,"Cropland, rainfed, herbaceous cover",,11
,"Cropland, rainfed, tree or shrub cover",,12
"Cropland, irrigated or post-flooding",,20,
"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",,30,
"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",,40,
"Tree cover, broadleaved, evergreen, closed to open (>15%)",,50,
"Tree cover, broadleaved, deciduous, closed to open (>15%)",,60,
,"Tree cover, broadleaved, deciduous, closed (>40%)",,61
,"Tree cover, broadleaved, deciduous, open (15-40%)",,62
"Tree cover, needleleaved, evergreen, closed to open (>15%)",,70,
,"Tree cover, needleleaved, evergreen, closed (>40%)",,71
,"Tree cover, needleleaved, evergreen, open (15-40%)",,72
"Tree cover, needleleaved, deciduous, closed to open (>15%)",,80,
,"Tree cover, needleleaved, deciduous, closed (>40%)",,81
,"Tree cover, needleleaved, deciduous, open (15-40%)",,82
"Tree cover, mixed leaf type (broadleaved and needleleaved)",,90,
"Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",,100,
"Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",,110,
"Shrubland",,120,
,"Evergreen shrubland",,121
,"Deciduous shrubland",,122
"Grassland",,130,
"Lichens and mosses",,140,
"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",,150,
,"Sparse tree (<15%) Sparse shrub (<15%)",,151
,"Sparse shrub (<15%)",,152
,"Sparse herbaceous cover (<15%)",,153
"Tree cover, flooded, fresh or brakish water",,160,
"Tree cover, flooded, saline water",,170,
"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",,180,
"Urban areas Bare areas",,190,
"Bare areas",,200,
,"Consolidated bare areas",201,
,"Unconsolidated bare areas",202,
"Water bodies",,210,
"Permanent snow and ice",,220,
